X,400 cell,X,500 cell,,,X,rho
0.00125,0.999825974,0.001,0.999825974,,0.002,0,0.999855774
0.00375,0.999825974,0.003,0.999825974,,0.0025,0.331178405,0.999855774
0.00625,0.999825974,0.005,0.999825974,,,0.331178405,0.999855772
0.00875,0.999825974,0.007,0.999825974,,,0.331495995,0.9982893
0.01125,0.999825974,0.009,0.999825974,,,0.331813585,0.996724792
0.01375,0.999825974,0.011,0.999825974,,,0.332131175,0.995162245
0.01625,0.999825974,0.013,0.999825974,,,0.332448765,0.993601659
0.01875,0.999825974,0.015,0.999825974,,,0.332766356,0.992043032
0.02125,0.999825974,0.017,0.999825974,,,0.333083946,0.990486361
0.02375,0.999825974,0.019,0.999825974,,,0.333401536,0.988931645
0.02625,0.999825974,0.021,0.999825974,,,0.333719126,0.987378881
0.02875,0.999825974,0.023,0.999825974,,,0.334036716,0.985828069
0.03125,0.999825974,0.025,0.999825974,,,0.334354306,0.984279206
0.03375,0.999825974,0.027,0.999825974,,,0.334671896,0.98273229
0.03625,0.999825974,0.029,0.999825974,,,0.334989486,0.98118732
0.03875,0.999825974,0.031,0.999825974,,,0.335307076,0.979644294
0.04125,0.999825974,0.033,0.999825974,,,0.335624666,0.978103209
0.04375,0.999825974,0.035,0.999825974,,,0.335942257,0.976564065
0.04625,0.999825974,0.037,0.999825974,,,0.336259847,0.975026858
0.04875,0.999825974,0.039,0.999825974,,,0.336577437,0.973491588
0.05125,0.999825974,0.041,0.999825974,,,0.336895027,0.971958253
0.05375,0.999825974,0.043,0.999825974,,,0.337212617,0.97042685
0.05625,0.999825974,0.045,0.999825974,,,0.337530207,0.968897379
0.05875,0.999825974,0.047,0.999825974,,,0.337847797,0.967369836
0.06125,0.999825974,0.049,0.999825974,,,0.338165387,0.965844221
0.06375,0.999825974,0.051,0.999825974,,,0.338482977,0.964320531
0.06625,0.999825974,0.053,0.999825974,,,0.338800567,0.962798764
0.06875,0.999825974,0.055,0.999825974,,,0.339118158,0.961278919
0.07125,0.999825974,0.057,0.999825974,,,0.339435748,0.959760995
0.07375,0.999825974,0.059,0.999825974,,,0.339753338,0.958244988
0.07625,0.999825974,0.061,0.999825974,,,0.340070928,0.956730898
0.07875,0.999825974,0.063,0.999825974,,,0.340388518,0.955218722
0.08125,0.999825974,0.065,0.999825974,,,0.340706108,0.953708459
0.08375,0.999825974,0.067,0.999825974,,,0.341023698,0.952200107
0.08625,0.999825974,0.069,0.999825974,,,0.341341288,0.950693664
0.08875,0.999825974,0.071,0.999825974,,,0.341658878,0.949189128
0.09125,0.999825974,0.073,0.999825974,,,0.341976468,0.947686497
0.09375,0.999825974,0.075,0.999825974,,,0.342294059,0.94618577
0.09625,0.999825974,0.077,0.999825974,,,0.342611649,0.944686945
0.09875,0.999825974,0.079,0.999825974,,,0.342929239,0.94319002
0.10125,0.999825974,0.081,0.999825974,,,0.343246829,0.941694993
0.10375,0.999825974,0.083,0.999825974,,,0.343564419,0.940201863
0.10625,0.999825974,0.085,0.999825974,,,0.343882009,0.938710627
0.10875,0.999825974,0.087,0.999825974,,,0.344199599,0.937221284
0.11125,0.999825974,0.089,0.999825974,,,0.344517189,0.935733831
0.11375,0.999825974,0.091,0.999825974,,,0.344834779,0.934248268
0.11625,0.999825974,0.093,0.999825974,,,0.345152369,0.932764593
0.11875,0.999825974,0.095,0.999825974,,,0.34546996,0.931282803
0.12125,0.999825974,0.097,0.999825974,,,0.34578755,0.929802896
0.12375,0.999825974,0.099,0.999825974,,,0.34610514,0.928324872
0.12625,0.999825974,0.101,0.999825974,,,0.34642273,0.926848728
0.12875,0.999825974,0.103,0.999825974,,,0.34674032,0.925374462
0.13125,0.999825974,0.105,0.999825974,,,0.34705791,0.923902073
0.13375,0.999825974,0.107,0.999825974,,,0.3473755,0.922431559
0.13625,0.999825974,0.109,0.999825974,,,0.34769309,0.920962917
0.13875,0.999825974,0.111,0.999825974,,,0.34801068,0.919496147
0.14125,0.999825974,0.113,0.999825974,,,0.34832827,0.918031247
0.14375,0.999825974,0.115,0.999825974,,,0.348645861,0.916568214
0.14625,0.999825974,0.117,0.999825974,,,0.348963451,0.915107046
0.14875,0.999825974,0.119,0.999825974,,,0.349281041,0.913647743
0.15125,0.999825974,0.121,0.999825974,,,0.349598631,0.912190302
0.15375,0.999825974,0.123,0.999825974,,,0.349916221,0.910734722
0.15625,0.999825974,0.125,0.999825974,,,0.350233811,0.909281001
